"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5613","Test02_CreateTestSuite_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","7478","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","13015","Test01_CreateAndUpdate_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","15147","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","16913","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-06-01","passed","2026-06-01","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","23217","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","9074","HomePage_ShouldLoadSuccessfully","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","11252","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-06-01","passed","2026-06-01","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","72781","CompleteProjectLifecycleFromCreationToDeletion","","2026-06-01","passed","2026-06-01","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","16032","Test05_DeleteAllInOrder_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
